frame_idx,track_id,similarity_score,is_target,bbox_x1,bbox_y1,bbox_x2,bbox_y2
23,2,0.5714,False,280,394,433,820
23,3,0.5853,False,1607,287,1855,923
23,6,0.5225,False,432,366,593,816
23,7,0.9159,True,807,269,1036,1004
23,8,0.4614,False,665,439,772,759
23,9,0.4468,False,1342,429,1409,648
23,10,0.4943,False,1417,382,1585,835
23,18,0.5151,False,1401,476,1450,613
23,30,0.42,False,747,488,818,701
23,32,0.4466,False,1097,473,1154,700
23,34,0.4954,False,545,414,635,775
23,21,0.4612,False,1799,437,1880,800
24,1,0.5859,False,121,390,279,820
24,2,0.5626,False,279,394,432,821
24,3,0.5994,False,1599,287,1848,922
24,6,0.5518,False,427,370,584,818
24,7,0.934,True,805,276,1030,1003
24,8,0.4548,False,667,442,776,761
24,9,0.4421,False,1341,429,1407,648
24,10,0.4919,False,1407,385,1576,833
24,18,0.5097,False,1401,473,1446,595
24,30,0.4082,False,749,487,819,702
24,32,0.4481,False,1097,479,1153,701
24,34,0.5159,False,548,410,639,775
24,21,0.4892,False,1787,420,1873,811
25,1,0.5723,False,120,391,277,817
25,2,0.5527,False,279,395,430,818
25,3,0.5915,False,1592,288,1844,924
25,6,0.5485,False,423,372,578,816
25,7,0.9359,True,809,281,1032,1003
25,8,0.4622,False,669,445,779,764
25,9,0.4483,False,1341,430,1406,649
25,10,0.4887,False,1401,388,1571,830
25,30,0.413,False,748,484,820,702
25,32,0.4288,False,1095,479,1152,701
25,34,0.5165,False,550,409,642,774
25,21,0.4936,False,1778,424,1864,821
25,38,0.6498,False,1855,358,1916,843
26,1,0.5639,False,119,391,276,818
26,2,0.5619,False,277,395,427,813
26,3,0.5973,False,1587,288,1840,925
26,6,0.5455,False,421,374,573,811
26,7,0.9342,True,808,288,1027,1003
26,8,0.4736,False,671,443,783,766
26,9,0.4525,False,1341,430,1406,650
26,10,0.4976,False,1395,390,1568,828
26,30,0.4265,False,748,482,820,702
26,32,0.4346,False,1093,478,1152,701
26,34,0.5166,False,552,409,644,774
26,21,0.499,False,1773,398,1863,823
26,38,0.6799,False,1840,356,1906,871
27,1,0.5627,False,116,391,272,819
27,2,0.5638,False,274,395,425,816
27,3,0.5831,False,1581,287,1836,926
27,6,0.5423,False,420,375,570,813
27,7,0.9205,True,813,292,1030,1000
27,8,0.4875,False,674,442,789,768
27,9,0.4525,False,1340,429,1405,650
27,10,0.4797,False,1390,389,1565,827
27,30,0.4378,False,745,472,820,705
27,32,0.4283,False,1095,482,1153,701
27,34,0.5237,False,552,407,645,775
27,21,0.5096,False,1767,372,1859,813
27,38,0.6114,False,1832,351,1900,867
28,1,0.5699,False,117,391,271,816
28,2,0.5744,False,272,394,421,811
28,3,0.5629,False,1575,291,1831,929
28,6,0.5473,False,420,377,569,814
28,7,0.9139,True,821,295,1036,995
28,8,0.5145,False,677,440,795,770
28,9,0.4511,False,1340,428,1405,650
28,10,0.4761,False,1386,390,1563,827
28,30,0.4523,False,742,458,821,709
28,32,0.4296,False,1094,482,1153,701
28,34,0.4933,False,555,408,649,775
28,21,0.5285,False,1764,396,1849,808
28,38,0.5938,False,1814,352,1885,870
29,1,0.5742,False,116,391,268,810
29,2,0.5741,False,271,393,418,808
29,3,0.5727,False,1573,290,1829,925
29,6,0.5263,False,420,380,568,813
29,7,0.9098,True,829,299,1042,986
29,8,0.5027,False,679,439,799,769
29,9,0.449,False,1340,429,1403,648
29,10,0.4871,False,1377,389,1556,826
29,30,0.4612,False,747,462,823,708
29,32,0.4264,False,1093,481,1153,701
29,34,0.4943,False,559,408,653,775
29,21,0.5608,False,1760,404,1843,814
29,38,0.6007,False,1814,357,1886,868
30,1,0.591,False,115,390,266,807
30,2,0.5661,False,269,392,415,806
30,3,0.5573,False,1565,293,1819,925
30,6,0.5403,False,420,380,569,812
30,7,0.9067,True,833,300,1045,981
30,8,0.4718,False,680,437,803,766
30,9,0.447,False,1340,429,1403,648
30,10,0.493,False,1373,388,1550,822
30,32,0.4196,False,1094,483,1154,701
30,34,0.4863,False,563,408,658,773
30,21,0.5567,False,1754,406,1831,784
30,38,0.6022,False,1800,362,1876,863
31,1,0.5919,False,115,388,265,806
31,2,0.5608,False,268,392,413,805
31,3,0.557,False,1562,294,1814,923
31,6,0.5281,False,417,381,565,811
31,7,0.9117,True,832,298,1043,976
31,8,0.4788,False,682,435,807,766
31,9,0.4478,False,1340,430,1402,649
31,10,0.4951,False,1371,387,1543,815
31,32,0.4273,False,1093,484,1154,701
31,34,0.4924,False,566,408,662,774
31,38,0.5925,False,1793,362,1874,861
32,1,0.5804,False,115,388,266,806
32,2,0.5485,False,265,392,410,805
32,3,0.5622,False,1559,292,1813,923
32,6,0.5279,False,414,381,562,810
32,7,0.9093,True,841,297,1052,963
32,8,0.509,False,684,432,810,765
32,9,0.4505,False,1339,431,1401,650
32,10,0.474,False,1371,387,1541,811
32,32,0.436,False,1093,484,1154,701
32,34,0.4891,False,566,409,664,774
32,38,0.5807,False,1795,358,1881,861
33,1,0.5672,False,115,388,266,806
33,2,0.5442,False,264,394,408,805
33,3,0.5698,False,1550,296,1799,920
33,6,0.5314,False,413,381,560,806
33,7,0.9013,True,837,296,1045,952
33,8,0.5392,False,686,431,814,764
33,9,0.4452,False,1340,431,1401,650
33,10,0.4553,False,1373,390,1539,810
33,32,0.4307,False,1094,486,1155,701
33,34,0.4999,False,567,409,667,775
33,38,0.6003,False,1793,358,1884,863
34,1,0.5638,False,114,389,265,806
34,2,0.5492,False,264,395,407,804
34,3,0.571,False,1547,296,1793,917
34,6,0.5288,False,414,381,559,802
34,7,0.9044,True,843,296,1051,944
34,8,0.5605,False,687,435,815,765
34,9,0.4496,False,1340,428,1402,653
34,10,0.4472,False,1373,392,1535,812
34,32,0.4312,False,1094,488,1155,701
34,34,0.5053,False,568,410,670,776
34,38,0.6046,False,1789,356,1886,862
35,1,0.5727,False,114,390,264,806
35,2,0.5418,False,263,396,406,802
35,3,0.5745,False,1546,301,1789,917
35,6,0.5271,False,412,381,557,801
35,7,0.8857,True,840,296,1047,938
35,8,0.5404,False,687,435,817,768
35,9,0.4389,False,1340,428,1402,653
35,10,0.4508,False,1369,388,1530,810
35,32,0.4533,False,1095,488,1156,701
35,34,0.5076,False,568,410,672,777
35,38,0.5709,False,1783,355,1885,864
36,1,0.5687,False,113,392,262,805
36,2,0.5481,False,263,399,405,801
36,3,0.5984,False,1547,305,1787,915
36,6,0.5232,False,411,380,556,801
36,7,0.8747,True,842,296,1048,936
36,8,0.5351,False,687,434,819,769
36,9,0.4364,False,1340,429,1400,653
36,10,0.4374,False,1365,392,1522,809
36,32,0.4462,False,1094,489,1155,701
36,34,0.5021,False,568,408,673,778
36,38,0.5627,False,1774,353,1883,864
37,1,0.5802,False,113,392,261,805
37,2,0.5447,False,262,400,404,801
37,3,0.5915,False,1546,305,1783,913
37,6,0.5226,False,409,379,553,801
37,7,0.871,True,844,295,1049,933
37,8,0.5341,False,688,434,821,769
37,9,0.4297,False,1339,428,1398,650
37,10,0.4636,False,1351,393,1507,807
37,32,0.4397,False,1094,489,1155,701
37,34,0.5116,False,567,408,674,780
37,38,0.5604,False,1761,352,1874,862
38,1,0.5831,False,114,394,260,804
38,2,0.5513,False,263,402,404,801
38,3,0.5859,False,1547,303,1782,911
38,6,0.5054,False,407,379,551,800
38,7,0.8595,True,844,298,1048,933
38,8,0.5351,False,688,433,823,770
38,9,0.4023,False,1338,428,1396,649
38,10,0.4384,False,1338,397,1494,807
38,32,0.4529,False,1093,488,1155,701
38,34,0.5039,False,567,406,676,781
38,38,0.5693,False,1749,350,1864,853
38,42,0.5795,False,1869,341,1916,893
39,1,0.5812,False,114,397,258,804
39,2,0.557,False,259,404,401,801
39,3,0.6066,False,1546,303,1778,907
39,6,0.5056,False,403,377,547,799
39,7,0.8706,True,844,305,1046,934
39,8,0.517,False,690,432,826,772
39,10,0.4305,False,1324,399,1481,807
39,32,0.4501,False,1092,487,1155,701
39,34,0.4935,False,568,403,680,782
39,38,0.5894,False,1735,352,1853,859
39,42,0.5777,False,1861,285,1910,854
40,1,0.5836,False,115,399,258,803
40,2,0.5512,False,255,406,395,800
40,3,0.5951,False,1547,305,1776,902
40,6,0.5193,False,400,376,544,800
40,7,0.8626,True,843,308,1042,933
40,8,0.5144,False,693,433,828,772
40,10,0.4373,False,1316,399,1475,808
40,32,0.4728,False,1097,488,1159,699
40,34,0.4925,False,569,401,684,784
40,38,0.5685,False,1727,353,1848,865
40,42,0.59,False,1849,258,1901,857
40,44,0.4629,False,1473,432,1528,650
41,1,0.5851,False,117,401,257,803
41,2,0.5603,False,251,407,391,799
41,3,0.5893,False,1549,309,1776,896
41,6,0.5243,False,398,379,542,800
41,7,0.861,True,844,315,1039,932
41,8,0.5036,False,695,431,831,774
41,10,0.4307,False,1310,405,1470,810
41,32,0.4637,False,1096,488,1158,700
41,34,0.4985,False,571,400,688,786
41,38,0.6017,False,1713,347,1838,871
41,42,0.5826,False,1836,243,1891,845
41,44,0.4643,False,1472,431,1524,639
42,1,0.5868,False,117,402,257,802
42,2,0.5486,False,248,407,388,799
42,3,0.5905,False,1553,311,1778,892
42,6,0.5406,False,395,380,539,800
42,7,0.8722,True,847,321,1038,928
42,8,0.5108,False,697,430,833,774
42,10,0.424,False,1309,411,1468,811
42,32,0.4346,False,1094,483,1157,700
42,34,0.513,False,570,396,689,787
42,38,0.6243,False,1709,354,1835,872
42,42,0.5657,False,1825,248,1883,846
42,44,0.4478,False,1471,430,1523,632
43,1,0.5817,False,119,403,256,802
43,2,0.5447,False,244,406,384,800
43,3,0.6254,False,1561,310,1791,893
43,6,0.5269,False,392,383,535,799
43,7,0.879,True,853,324,1043,926
43,8,0.5019,False,698,428,836,774
43,10,0.4526,False,1306,407,1467,808
