timestamp,track_id,raw_score,smoothed_val,voting_ready,bbox_x1,bbox_y1,bbox_x2,bbox_y2
1786536981.4110146,3,0.8032,0.7882,True,367,70,639,476
1786536981.5221941,1,0.7768,0.7559,True,129,7,414,475
1786536981.5221941,3,0.793,0.7896,True,342,63,640,476
1786536981.634665,1,0.7926,0.7669,True,125,6,416,474
1786536981.634665,3,0.7859,0.7885,True,313,52,639,476
1786536981.7621434,1,0.8005,0.777,True,123,6,381,474
1786536981.7621434,3,0.7825,0.7867,True,274,42,639,475
1786536981.8700824,1,0.8043,0.7852,True,130,7,356,475
1786536981.8700824,3,0.7831,0.7856,True,246,40,636,475
1786536982.0347345,1,0.7971,0.7888,True,125,6,337,474
1786536982.0347345,3,0.7733,0.7819,True,213,35,632,473
1786536982.1469944,1,0.7938,0.7903,True,124,6,327,474
1786536982.1469944,3,0.7803,0.7814,True,216,36,630,473
1786536982.2585127,1,0.7874,0.7894,True,125,6,330,474
1786536982.2585127,3,0.7817,0.7815,True,212,36,635,475
1786536982.3710322,1,0.7966,0.7916,True,123,5,331,475
1786536982.3710322,3,0.7725,0.7788,True,234,34,639,477
1786536982.483223,1,0.7639,0.7833,True,116,5,346,479
1786536982.483223,3,0.7585,0.7727,True,242,26,640,475
1786536982.595381,1,0.7665,0.7782,True,112,4,368,478
1786536982.595381,3,0.772,0.7725,True,252,13,640,476
1786536982.7071939,1,0.7746,0.7772,True,106,6,382,479
1786536982.7071939,3,0.7928,0.7786,True,255,11,639,475
1786536982.810989,1,0.7856,0.7797,True,105,7,392,477
1786536982.810989,3,0.8137,0.7891,True,253,15,638,474
1786536982.9150717,1,0.787,0.7819,True,105,8,395,477
1786536982.9150717,3,0.8036,0.7935,True,242,12,638,473
1786536983.0269403,1,0.7934,0.7853,True,105,8,387,477
1786536983.0269403,3,0.7873,0.7916,True,232,12,637,473
1786536983.2174685,1,0.8079,0.7921,True,103,9,353,475
1786536983.2174685,3,0.7989,0.7938,True,188,5,638,471
1786536983.3312309,1,0.8286,0.8031,True,100,11,314,474
1786536983.3312309,3,0.8268,0.8037,True,150,0,634,472
1786536983.5541434,3,0.7849,0.7981,True,64,1,595,471
1786536983.6688888,3,0.7856,0.7943,True,20,1,542,473
1786536983.77834,3,0.8043,0.7973,True,6,1,523,474
1786536983.8749669,3,0.7914,0.7956,True,0,2,507,475
1786536983.971173,3,0.7904,0.794,True,0,4,508,475
1786536984.065055,3,0.784,0.791,True,0,3,501,474
1786536984.1589994,3,0.7839,0.7889,True,0,4,531,472
