timestamp,track_id,raw_score,smoothed_val,voting_ready,bbox_x1,bbox_y1,bbox_x2,bbox_y2
1786536896.6262977,2,0.6163,0.6163,True,120,259,213,475
1786536896.7369819,1,0.8147,0.8178,True,142,11,416,476
1786536896.7369819,2,0.5944,0.6097,True,119,264,211,475
1786536896.852271,1,0.8115,0.8159,True,134,10,410,476
1786536896.961105,1,0.814,0.8153,True,130,11,406,475
1786536897.0573716,1,0.8155,0.8154,True,120,8,398,476
1786536897.170106,1,0.8112,0.8141,True,108,8,387,476
1786536897.2641268,1,0.7917,0.8074,True,91,6,375,476
1786536897.362238,1,0.8141,0.8094,True,70,3,360,474
1786536897.5525906,1,0.8143,0.8109,True,46,1,355,476
1786536897.666209,1,0.8427,0.8204,True,34,1,340,477
1786536897.7621305,1,0.8234,0.8213,True,26,1,307,476
1786536897.8583143,1,0.8143,0.8192,True,21,0,291,474
1786536897.952721,1,0.7997,0.8134,True,19,0,282,474
1786536898.0463536,1,0.8131,0.8133,True,25,1,275,476
1786536898.1484787,1,0.8112,0.8127,True,40,0,270,474
1786536898.2415147,1,0.822,0.8155,True,55,0,270,474
1786536898.3381228,1,0.8477,0.8251,True,89,2,281,475
1786536898.4330418,1,0.8749,0.8401,True,115,1,292,475
1786536898.5262432,1,0.858,0.8454,True,124,3,306,475
1786536898.7048504,1,0.8748,0.8543,True,129,3,348,475
1786536898.8165734,1,0.8512,0.8533,True,126,5,351,475
1786536898.9300387,1,0.8472,0.8515,True,128,5,362,475
1786536899.0259132,1,0.847,0.8502,True,133,8,385,475
1786536899.1217947,1,0.8356,0.8458,True,152,10,409,476
1786536899.2146454,1,0.8188,0.8377,True,161,11,419,475
1786536899.309702,1,0.8555,0.843,True,188,15,458,475
1786536899.4082441,1,0.8693,0.8509,True,225,19,489,474
1786536899.5202959,1,0.8581,0.8531,True,255,22,514,474
1786536899.6169238,1,0.8435,0.8502,True,265,25,534,474
1786536899.7922688,1,0.8565,0.8521,True,276,27,557,474
1786536899.8857827,1,0.8419,0.849,True,284,29,565,474
1786536899.8857827,3,0.7438,0.7438,True,121,200,310,475
1786536899.988053,1,0.821,0.8406,True,293,30,567,474
1786536899.988053,3,0.7618,0.7492,True,122,201,314,475
1786536900.097354,1,0.8107,0.8317,True,296,31,565,474
1786536900.097354,3,0.7487,0.749,True,121,201,315,475
1786536900.210152,1,0.7972,0.8213,True,296,33,561,473
1786536900.210152,3,0.744,0.7475,True,120,201,316,475
1786536900.322038,1,0.7822,0.8096,True,296,37,551,474
1786536900.322038,3,0.7413,0.7457,True,122,201,315,475
1786536900.4333181,1,0.8006,0.8069,True,292,38,544,474
1786536900.4333181,3,0.7509,0.7472,True,121,202,313,475
1786536900.545316,1,0.8043,0.8061,True,288,37,536,475
1786536900.545316,3,0.7555,0.7497,True,120,201,309,475
1786536900.6582727,1,0.7796,0.7982,True,280,35,527,474
1786536900.6582727,3,0.7505,0.7499,True,121,201,306,475
1786536900.769967,1,0.8253,0.8063,True,270,37,518,473
1786536900.769967,3,0.7271,0.7431,True,119,201,306,474
1786536900.9586418,1,0.8357,0.8151,True,282,37,510,472
1786536900.9586418,3,0.7481,0.7446,True,120,201,309,474
1786536901.0560346,1,0.8435,0.8236,True,289,37,509,474
1786536901.0560346,3,0.7442,0.7445,True,121,201,313,475
1786536901.1554112,1,0.8305,0.8257,True,302,36,512,474
1786536901.1554112,3,0.7364,0.7421,True,123,201,322,475
1786536901.260767,1,0.8307,0.8272,True,312,35,519,475
1786536901.260767,3,0.7461,0.7433,True,124,201,329,475
1786536901.3592894,1,0.823,0.826,True,324,33,525,475
1786536901.3592894,3,0.7298,0.7392,True,125,201,339,475
1786536901.4577193,1,0.8069,0.8203,True,332,31,527,475
1786536901.4577193,3,0.7136,0.7316,True,126,201,344,475
1786536901.5688028,1,0.8103,0.8173,True,340,32,528,475
1786536901.5688028,3,0.7198,0.728,True,127,200,350,475
1786536901.6807544,1,0.8131,0.816,True,348,33,532,475
1786536901.6807544,3,0.6942,0.7179,True,125,201,359,475
1786536901.792393,1,0.8312,0.8206,True,359,36,540,475
1786536901.792393,3,0.7076,0.7148,True,126,200,362,475
1786536901.9054484,1,0.8179,0.8198,True,363,35,546,476
