timestamp,track_id,raw_score,smoothed_val,voting_ready,bbox_x1,bbox_y1,bbox_x2,bbox_y2
1786539059.0419104,12,0.6683,0.6802,True,126,72,586,474
1786539059.2497928,12,0.6787,0.6797,True,154,78,633,474
1786539059.4423206,12,0.7081,0.6882,True,212,77,640,473
1786539059.6330194,12,0.7128,0.6956,True,149,79,631,474
1786539059.8259463,12,0.728,0.7053,True,279,76,638,473
1786539060.0177472,12,0.7221,0.7103,True,335,63,639,473
1786539060.1943927,12,0.732,0.7168,True,358,58,639,473
1786539060.3858094,12,0.7759,0.7346,True,386,60,638,473
1786539060.5647318,12,0.8038,0.7553,True,412,63,639,474
1786539060.767446,12,0.7413,0.7511,True,444,65,639,475
1786539060.9617565,12,0.6544,0.7221,True,469,79,639,473
1786539060.9617565,14,0.6517,0.6517,True,121,205,359,474
1786539061.1851077,12,0.6953,0.714,True,532,103,639,473
1786539061.1851077,14,0.65,0.6512,True,121,204,360,475
1786539061.4088218,14,0.645,0.6494,True,121,205,360,475
1786539061.5859928,14,0.6486,0.6491,True,120,205,359,475
1786539061.7791214,14,0.6444,0.6477,True,120,205,360,475
1786539061.953899,14,0.6409,0.6457,True,121,205,359,475
1786539062.1294558,14,0.6467,0.646,True,120,205,360,474
1786539062.321645,14,0.6504,0.6473,True,120,205,359,475
1786539062.4994543,14,0.6453,0.6467,True,120,204,360,475
1786539062.7078183,14,0.6434,0.6457,True,121,205,360,475
1786539062.898246,14,0.6452,0.6456,True,121,204,360,475
1786539063.0894153,14,0.6446,0.6453,True,121,205,360,475
1786539063.2662203,14,0.6437,0.6448,True,121,204,360,475
1786539063.442632,14,0.65,0.6463,True,122,204,360,475
1786539063.6329608,14,0.6444,0.6458,True,121,205,359,475
1786539063.8254688,14,0.6481,0.6465,True,121,204,360,475
1786539064.0158517,14,0.6488,0.6472,True,120,204,360,475
1786539064.1967244,14,0.6461,0.6469,True,121,204,359,475
1786539064.386374,14,0.6407,0.645,True,121,205,359,475
1786539064.578712,14,0.6444,0.6448,True,120,205,360,475
1786539064.7684345,14,0.6449,0.6449,True,123,204,360,475
1786539064.960255,1000,0.7251,0.7251,True,1,39,373,473
1786539065.185149,1000,0.8088,0.7502,True,112,46,558,473
1786539065.3917744,15,0.7764,0.7764,True,188,45,543,470
1786539065.6026938,15,0.7702,0.7746,True,62,19,627,473
1786539065.8002486,15,0.7959,0.781,True,120,15,639,474
1786539066.0018547,15,0.7941,0.7849,True,173,17,640,473
1786539066.1953163,15,0.7847,0.7848,True,398,15,640,475
1786539066.3819315,15,0.8056,0.7911,True,498,62,640,474
1786539066.578249,1000,0.6181,0.6181,True,120,204,359,475
1786539066.578249,1001,0.5058,0.5058,True,400,312,468,355
1786539066.8029537,1000,0.6101,0.6157,True,122,204,359,475
1786539066.9783652,1000,0.6166,0.616,True,121,204,360,475
1786539067.1676779,1000,0.6102,0.6142,True,123,204,359,475
1786539067.1676779,1001,0.6355,0.6355,True,604,310,639,459
1786539067.3783574,1000,0.6031,0.6109,True,121,204,359,475
1786539067.3783574,1001,0.6702,0.6459,True,573,272,639,476
1786539067.3783574,1002,0.6917,0.6917,True,573,130,639,475
1786539067.6340728,17,0.6191,0.6191,True,122,204,359,475
1786539067.8197029,17,0.6037,0.6145,True,121,204,360,475
1786539068.0018413,17,0.6209,0.6164,True,120,204,359,474
1786539068.1933837,17,0.6386,0.6231,True,121,204,359,475
1786539068.373053,17,0.6472,0.6303,True,123,204,354,475
1786539068.5591,17,0.6472,0.6354,True,122,204,355,474
1786539068.5591,18,0.7115,0.7115,True,316,72,638,472
1786539068.7720878,17,0.6148,0.6292,True,123,203,357,475
1786539068.7720878,18,0.7255,0.7157,True,331,66,639,473
1786539068.9944978,17,0.6112,0.6238,True,122,204,358,475
1786539068.9944978,18,0.742,0.7236,True,352,69,638,473
1786539069.2133849,17,0.6172,0.6218,True,121,204,359,475
1786539069.2133849,18,0.7545,0.7329,True,388,61,639,473
1786539069.4274764,17,0.6028,0.6161,True,121,204,359,474
1786539069.4274764,18,0.7207,0.7292,True,451,77,639,472
1786539069.6456635,17,0.6105,0.6144,True,120,205,360,474
1786539069.6456635,18,0.7304,0.7296,True,544,81,639,474
1786539069.871822,17,0.6151,0.6146,True,121,204,359,475
1786539069.871822,18,0.6709,0.712,True,594,81,639,474
1786539070.0810921,17,0.6279,0.6186,True,125,204,359,475
1786539070.2761185,17,0.6103,0.6161,True,121,204,360,475
1786539070.4819934,17,0.6261,0.6191,True,120,204,360,474
1786539070.6730404,17,0.618,0.6188,True,123,204,359,475
1786539070.8964717,17,0.6161,0.618,True,124,205,359,475
1786539071.0909393,17,0.6545,0.6289,True,122,204,353,475
1786539071.0909393,21,0.7374,0.7374,True,334,73,638,474
1786539071.3295374,21,0.7321,0.7358,True,174,68,638,474
1786539071.5537884,21,0.6664,0.715,True,117,57,629,473
1786539071.761238,21,0.6382,0.6919,True,73,55,628,472
1786539071.9682238,21,0.6655,0.684,True,71,54,635,472
1786539072.1592534,21,0.6597,0.6767,True,81,54,632,472
1786539072.3544135,21,0.6688,0.6743,True,97,57,617,473
1786539072.5459373,21,0.6544,0.6683,True,106,57,598,473
1786539072.7369106,21,0.6272,0.656,True,92,63,575,473
1786539072.9281213,21,0.6595,0.6571,True,89,68,524,473
1786539073.1198425,21,0.6778,0.6633,True,42,77,486,473
1786539073.3101327,21,0.6167,0.6493,True,0,80,423,472
1786539073.5060956,21,0.596,0.6333,True,0,64,387,473
1786539073.6956964,21,0.5966,0.6223,True,0,59,364,474
1786539073.8884206,21,0.6181,0.621,True,0,59,358,474
1786539074.0650265,21,0.6366,0.6257,True,0,60,307,474
1786539074.2574944,21,0.6307,0.6272,True,0,62,239,474
1786539074.4497104,21,0.6005,0.6192,True,0,58,195,474
1786539074.631985,21,0.6279,0.6218,True,0,59,162,473
1786539074.8162558,21,0.6014,0.6157,True,0,59,139,472
1786539075.0094643,21,0.6053,0.6126,True,0,59,107,473
1786539075.2114923,21,0.6091,0.6115,True,0,59,79,475
1786539075.3935168,21,0.5661,0.5979,True,0,68,53,473
1786539075.585117,21,0.5436,0.5816,True,0,135,46,468
1786539075.585117,22,0.6155,0.6155,True,119,205,359,474
1786539075.809607,21,0.5982,0.5866,True,0,167,52,465
1786539075.809607,22,0.6128,0.6147,True,122,204,360,475
1786539076.0325627,21,0.6465,0.6046,True,0,176,76,456
1786539076.0325627,22,0.6196,0.6162,True,123,204,360,475
1786539076.259601,21,0.7217,0.6397,True,0,172,120,445
1786539076.259601,22,0.6168,0.6164,True,121,204,359,474
1786539076.480278,21,0.8021,0.6884,True,0,72,159,450
1786539076.480278,22,0.6337,0.6215,True,125,204,360,475
1786539076.7016475,21,0.6924,0.6896,True,0,55,199,469
1786539076.7016475,22,0.642,0.6277,True,127,203,360,475
1786539076.9312592,21,0.6607,0.6809,True,0,61,255,472
1786539077.122223,21,0.6699,0.6776,True,0,60,293,467
1786539077.122223,22,0.6468,0.6468,True,149,186,360,474
1786539077.3458483,21,0.6323,0.664,True,0,60,293,469
1786539077.3458483,22,0.6202,0.6388,True,154,197,360,474
1786539077.5693,21,0.6208,0.6511,True,0,61,327,472
1786539077.7620916,21,0.6377,0.6471,True,0,53,303,473
1786539078.0026839,21,0.6384,0.6445,True,0,53,319,473
1786539078.0026839,22,0.6629,0.6629,True,185,139,360,473
1786539078.224121,21,0.6227,0.6379,True,0,54,349,473
1786539078.224121,22,0.6561,0.6609,True,203,167,360,473
1786539078.4514155,21,0.6418,0.6391,True,0,63,372,473
1786539078.6393795,21,0.6249,0.6348,True,29,68,437,473
1786539078.8337843,21,0.6304,0.6335,True,77,72,488,475
1786539079.0387533,21,0.6374,0.6347,True,100,76,539,473
1786539079.2359295,21,0.6453,0.6379,True,108,76,557,474
1786539079.4240506,21,0.6418,0.639,True,104,75,557,473
1786539079.617959,21,0.6359,0.6381,True,90,68,557,472
1786539079.8108585,21,0.6457,0.6404,True,71,64,543,473
1786539079.9998076,21,0.6888,0.6549,True,38,59,537,473
1786539080.1920314,21,0.6981,0.6679,True,5,57,527,472
1786539080.386633,21,0.6872,0.6737,True,3,57,550,473
1786539080.5782208,21,0.693,0.6795,True,5,59,539,474
1786539080.7766364,21,0.6745,0.678,True,10,62,572,475
1786539080.9735265,21,0.6412,0.667,True,63,61,622,473
1786539081.1757965,21,0.621,0.6532,True,152,63,640,474
1786539081.3863292,21,0.6749,0.6597,True,187,65,640,472
1786539081.5769112,21,0.7122,0.6755,True,215,66,639,475
1786539081.777603,21,0.6954,0.6815,True,157,69,638,472
1786539081.9849448,21,0.7061,0.6888,True,156,57,640,473
1786539082.1785443,21,0.6894,0.689,True,105,48,638,472
1786539082.370301,21,0.6904,0.6894,True,74,41,635,476
1786539082.5643525,21,0.6478,0.6769,True,48,47,638,475
1786539082.754033,21,0.6719,0.6754,True,8,48,635,472
1786539082.959684,21,0.6598,0.6707,True,7,52,640,472
1786539083.14986,21,0.6809,0.6738,True,4,51,631,475
1786539083.3456137,21,0.6781,0.6751,True,87,57,637,473
1786539083.537483,21,0.6405,0.6647,True,116,55,631,474
1786539083.7269957,21,0.6562,0.6622,True,120,53,638,474
1786539083.9215355,21,0.6676,0.6638,True,147,49,639,473
1786539084.1279519,21,0.7207,0.6809,True,195,50,638,472
1786539084.3179874,21,0.7213,0.693,True,206,52,638,475
1786539084.5140595,21,0.7176,0.7004,True,212,45,626,477
1786539084.7066567,21,0.7227,0.7071,True,199,39,635,475
1786539084.911666,21,0.7204,0.7111,True,185,40,612,475
1786539085.1056192,21,0.625,0.6852,True,149,41,601,474
1786539085.311765,21,0.6878,0.686,True,131,5,620,474
1786539085.521989,21,0.6781,0.6836,True,170,3,634,475
1786539085.7138636,21,0.6798,0.6825,True,185,30,633,476
1786539085.9040842,21,0.7056,0.6894,True,149,26,639,474
1786539086.0920317,21,0.6709,0.6839,True,172,25,638,474
1786539086.2884114,21,0.6526,0.6745,True,166,29,637,473
1786539086.4976854,21,0.6827,0.677,True,162,30,639,475
1786539086.6901028,21,0.6735,0.6759,True,81,24,639,474
1786539086.882962,21,0.6572,0.6703,True,18,33,638,478
1786539087.0900722,21,0.701,0.6795,True,51,43,636,474
1786539087.312365,21,0.7299,0.6946,True,110,60,638,474
1786539087.5048263,21,0.6999,0.6962,True,144,68,638,473
1786539087.713096,21,0.6801,0.6914,True,156,60,640,472
1786539087.9021652,21,0.7054,0.6956,True,222,59,640,472
1786539088.0940833,21,0.6358,0.6776,True,236,58,595,472
1786539088.2891114,21,0.7033,0.6853,True,215,44,531,473
1786539088.4967682,21,0.7045,0.6911,True,133,41,448,473
1786539088.7061489,21,0.6818,0.6883,True,63,37,401,473
1786539088.895384,21,0.7526,0.7076,True,15,26,374,471
1786539089.0890894,21,0.7619,0.7239,True,10,54,355,473
1786539089.2943802,21,0.6932,0.7147,True,0,37,335,474
1786539089.490208,21,0.6732,0.7022,True,0,39,363,472
1786539089.6970072,21,0.6528,0.6874,True,0,44,401,473
1786539089.8907714,21,0.6328,0.671,True,0,53,434,473
1786539090.0953052,21,0.6377,0.661,True,0,69,486,475
1786539090.2896295,21,0.6283,0.6512,True,38,61,517,473
